Title,Content ID,Poster,Backdrop,Overview,Trailer,Type,Genres,Runtime (minutes),Number of Episodes,Rating,Release Year,Provider Name,Provider Logo,Origin Country,Primary Genres,Secondary Genres,Total Runtime (minutes),Latitude,Longitude
The Witcher,71912,/cZ0d3rtvXPVvuiX22sP79K3Hmjz.jpg,/foGkPxpw9h8zln81j63mix5B7m8.jpg,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",https://www.youtube.com/watch?v=eb90gqGYP9c,tv,"Sci-Fi & Fantasy, Drama, Action & Adventure",66,24,8.09,2019,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United States of America,Science Fiction/Fantasy, Drama,1584,39.78373,-100.44588
Two and a Half Men,2691,/xgfjxyV3g1S68opzuvG6G87muDp.jpg,/coHpOy9OJyFiHWeH36cSHMpLUHC.jpg,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,https://www.youtube.com/watch?v=h1YadOPGL-0,tv,Comedy,30,262,7.45,2003,Amazon Prime Video,/dQeAar5H991VYporEjUspolDarG.jpg,United States of America,Comedy,N/A,7860,39.78373,-100.44588
Dawn of the Planet of the Apes,119450,/kScdQEwS9jPEdnO23XjGAtaoRcT.jpg,/4TFCA5Lm5miseV3Wy02yxurEQL9.jpg,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",https://www.youtube.com/watch?v=DpSaTrW4leg,movie,"Science Fiction, Action, Drama, Thriller",130,1,7.32,2014,Disney Plus,/97yvRBw1GzX7fXprcF80er19ot.jpg,United States of America,Science Fiction/Fantasy, Action,130,39.78373,-100.44588
The Last Stop in Yuma County,1047020,/u6ae2MMh8PpSamO3cIttLM5B18v.jpg,/Y91KJmQ13jNEpOlNL9j6PPRpIO.jpg,"While awaiting the next fuel truck at a middle-of-nowhere Arizona rest stop, a traveling young knife salesman is thrust into a high-stakes hostage situation by the arrival of two similarly stranded bank robbers with no qualms about using cruelty—or cold, hard steel—to protect their bloodstained, ill-gotten fortune.",https://www.youtube.com/watch?v=VfpnNciRQq8,movie,"Crime, Thriller",91,1,6.88,2024,N/A,N/A,United States of America,Documentary/Other, Thriller,91,39.78373,-100.44588
Dark Matter,196322,/c6MRUtPk0nEPQ9FBD9RdRKt2rIm.jpg,/5fWxvjOUvtUoSmiMEpFl77V6KZV.jpg,"Jason Dessen is abducted into an alternate version of his life. To get back to his true family, he embarks on a harrowing journey to save them from the most terrifying foe imaginable: himself.",https://www.youtube.com/watch?v=j6ucGt_Xp14,tv,"Drama, Mystery, Sci-Fi & Fantasy",50,9,7.9,2024,Apple TV Plus,/2E03IAZsX4ZaUqM7tXlctEPMGWS.jpg,United States of America,Drama, Mystery,450,39.78373,-100.44588
War for the Planet of the Apes,281338,/mMA1qhBFgZX8O36qPPTC016kQl1.jpg,/qdd5lrgBYL4fMSwYAhfLUwdJRu1.jpg,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.",https://www.youtube.com/watch?v=yDBFrQvfGlQ,movie,"Drama, Science Fiction, War",140,1,7.19,2017,Disney Plus,/97yvRBw1GzX7fXprcF80er19ot.jpg,United States of America,Drama, Science Fiction,140,39.78373,-100.44588
Dune: Part Two,693134,/gho58bYmw9juYXmUSHRJKOngJGn.jpg,/xOMo8BRK7PfcJv9JCnx7s5hj0PX.jpg,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",https://www.youtube.com/watch?v=DMNQ5HWQ1aU,movie,"Science Fiction, Adventure",167,1,8.18,2024,N/A,N/A,United States of America,Science Fiction/Fantasy, Adventure,167,39.78373,-100.44588
Living with Leopards,1255187,/g7peos8n3HHv7mhDvI5ySntzC6n.jpg,/dUfRICbbBih2C9uO3z2ZOVOlv0q.jpg,A film crew follows two leopard cubs as they make the fascinating journey from infancy into adulthood in this up-close-and-personal nature documentary.,https://www.youtube.com/watch?v=c2pzKahGGtA,movie,Documentary,72,1,7.5,2024,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United Kingdom of Great Britain and Northern Ireland,Documentary/Other,N/A,72,54.70235,-3.27658
S.W.A.T.,71790,/1l7vsAIkqOzrqiPwjO27Cb5QdfJ.jpg,/6AMu666ED8qPbep6iYtue11awvW.jpg,A locally born and bred S.W.A.T. lieutenant is torn between loyalty to the streets and duty to his fellow officers when he's tasked to run a highly-trained unit that's the last stop for solving crimes in Los Angeles.,https://www.youtube.com/watch?v=HHVae76dbqI,tv,"Crime, Action & Adventure, Drama",42,141,8.1,2017,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United States of America,Documentary/Other, Action & Adventure,5922,39.78373,-100.44588
Mothers' Instinct,758679,/xscMEP5VsvCLxFvrDQD84biWsLA.jpg,/2ak94bJfXxHR5vBxwrpkycwOKv3.jpg,"Alice and Celine are inseparable and share everything, from their daily routines to their secrets. Their perfect harmony is shattered when one of their sons dies in a tragic accident while under Alice’s care. Celine blames Alice for the death of her child and becomes obsessed with protecting her surviving son from any harm. Alice, on the other hand, feels guilty and paranoid that Celine is plotting to harm her and her family. A gripping battle of wills ensues as the two women spiral into madness and violence.",https://www.youtube.com/watch?v=WgiyQ_HYM98,movie,"Drama, Thriller",94,1,7.29,2024,N/A,N/A,United States of America,Drama, Thriller,94,39.78373,-100.44588
Thelma the Unicorn,739547,/yutiEZ7taGDNau2jGjKIdDwQpDw.jpg,/9c6YcIUJ1hxoCnoPs3HU4Bgy6Uj.jpg,"Thelma dreams of being a glamorous unicorn. Then in a rare pink and glitter-filled moment of fate, Thelma's wish comes true. She rises to instant international stardom, but at an unexpected cost. After a while, Thelma realizes that she was happier as her ordinary, sparkle-free self. So she ditches her horn, scrubs off her sparkles, and returns home, where her best friend is waiting for her with a hug.",https://www.youtube.com/watch?v=lvXqQ5mwlHE,movie,"Animation, Fantasy, Family",98,1,6.82,2024,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United States of America,Animation, Fantasy,98,39.78373,-100.44588
Rise of the Planet of the Apes,61791,/cjLsuP75UDlRdJVMXzXg3TJ4umX.jpg,/662Qzyr5puD3MydSOFTCNVMBCnr.jpg,"A highly intelligent chimpanzee named Caesar has been living a peaceful suburban life ever since he was born. But when he gets taken to a cruel primate facility, Caesar decides to revolt against those who have harmed him.",https://www.youtube.com/watch?v=3rqc-cFPYKw,movie,"Thriller, Action, Drama, Science Fiction",105,1,7.31,2011,Disney Plus,/97yvRBw1GzX7fXprcF80er19ot.jpg,United States of America,Documentary/Other, Action,105,39.78373,-100.44588
Texas Metal's Loud and Lifted,222856,/6DrDlFNZnW3VbzRjmy58OnVwxHM.jpg,/lXwqnPH2ZLkYVol5XX8AYDSCdG9.jpg,"Texas is a mecca for truck customization, an uber-diverse metal cranking mash of everything from trophy-winning show trucks to drop it down lowriders. While Bill Carlton, host of TEXAS METAL, is still the reigning champion in the Lone Star State's custom truck world, TEXAS METAL'S LOUD AND LIFTED has been super-sized with three of the most talented, up-and-coming custom auto garages in the state: Wide Open Garage, Mod Mafia, and 1 Way Diesel Performance.",N/A,tv,"Documentary, Reality",0,15,10,2023,N/A,N/A,United States of America,Documentary/Other, Reality,0,39.78373,-100.44588
Bottoms,814776,/jeyTQrNEpyE1LZIgVlswYh3sc34.jpg,/2sxiysM6O0FAxeR2CEIeKSv9IkA.jpg,Unpopular best friends PJ and Josie start a high school self-defense club to meet girls and lose their virginity. They soon find themselves in over their heads when the most popular students start beating each other up in the name of self-defense.,https://www.youtube.com/watch?v=cuGAJm1n0fI,movie,Comedy,91,1,6.69,2023,Amazon Prime Video,/dQeAar5H991VYporEjUspolDarG.jpg,United States of America,Comedy,N/A,91,39.78373,-100.44588
OMG Fashun,253912,/Agkl928oTTVMjLOaucRDUxx9Wac.jpg,/4aHOa5vbhBHbCUFZNrFEkWHk10r.jpg,"Follows a group of fashion ""disrupters"" as they create new looks with materials and techniques that would make ""fashion's gatekeepers squirm"".",https://www.youtube.com/watch?v=rmCFdXgV908,tv,Reality,22,2,5.5,2024,N/A,N/A,United States of America,Documentary/Other,N/A,44,39.78373,-100.44588
I Kissed a Girl,252660,/mMgCKbFGpKO766UmmDn5TJwowU3.jpg,/3bBqY26jRGZc41vOrOW34m3JFIf.jpg,"Dannii Minogue is back to play Cupid - and this time, it's for girls who like girls.",N/A,tv,Reality,45,4,10,2024,Sky Go,/1UrT2H9x6DuQ9ytNhsSCUFtTUwS.jpg,United Kingdom of Great Britain and Northern Ireland,Documentary/Other,N/A,180,54.70235,-3.27658
The Bold and the Beautiful,6647,/8EzeAbyorB9vE0dnzMg0cyqSm8E.jpg,/prpUCDAO8blJCReEICbpGBUNwA3.jpg,Continuing drama combining romance and intrigue set against the glittering backdrop of Beverly Hills and the American fashion industry.,https://www.youtube.com/watch?v=oAH9AZa1S3U,tv,"Soap, Drama",19,7455,5.53,1987,N/A,N/A,United States of America,Documentary/Other, Drama,141645,39.78373,-100.44588
We're Here,95791,/7yvE67urIKzmpVj8Wx75TT6qJRe.jpg,/hFVS46MYqoqGilImm9SRWTMTHQw.jpg,"Small-town residents from across America are recruited and trained to participate in a one-night-only drag show. In each episode, former RuPaul’s Drag Race contestants Bob the Drag Queen, Eureka O’Hara and Shangela Laquifa Wadley will help prepare their “drag daughters” by teaching them how to step outside of their comfort zones.",N/A,tv,Reality,60,26,6.4,2020,Sky Go,/1UrT2H9x6DuQ9ytNhsSCUFtTUwS.jpg,United States of America,Documentary/Other,N/A,1560,39.78373,-100.44588
Strictly Confidential,1182297,/z7HYUG9osY4Y1i3tuZnfjIqY7qP.jpg,/1Zje8rct7lTDDXCuLJlRAEetHmk.jpg,"On the anniversary of Rebecca’s death, Mia returns to the Caribbean paradise where she and her best friend shared her final days. As Mia and sets out to unravel the mysterious events of her passing, old passions rise, new secrets are uncovered and Mia is pulled into a seductive world of sex, betrayal and murder.",https://www.youtube.com/watch?v=1k5boDqWilo,movie,"Mystery, Thriller",88,1,5.4,2024,N/A,N/A,Saint Kitts and Nevis,Documentary/Other, Thriller,88,17.25051,-62.6726
Challengers,937287,/esLooowdB92I3dVI3ENlPPpTuWT.jpg,/504GSaoxBA5nLlcMsJfjzLZEKUp.jpg,"Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous Grand Slam champion. To jolt him out of his recent losing streak, she signs him up for a ""Challenger"" event — close to the lowest level of pro tournament — where he finds himself standing across the net from his former best friend and Tashi's former boyfriend.",https://www.youtube.com/watch?v=usOvkpu4pWU,movie,"Romance, Drama",132,1,7.34,2024,N/A,N/A,United States of America,Documentary/Other, Drama,132,39.78373,-100.44588
The Proof Is Out There: Military Mysteries,252578,/tlwilnmKbetksRLQ2bOToVC9ay2.jpg,/hgsIQP7QdunMroQbPCB6CRPMyfz.jpg,"Combat veterans Rudy Reyes and Ronnie Adkins unravel the mysteries behind the strangest and most controversial images, sounds, and documents from the modern history of war. Mysteries span the modern era of warfare, including the World Wars, The Korean War, the Vietnam War, The Cold War, The Gulf War, and the conflicts of the 21st century. Assassinations caught on tape, exploding battleships, ghost planes, vanished soldiers, propaganda hoaxes, alleged cover-ups and conspiracies are analyzed and dissected by Reyes and Adkins, aided by a team of top experts, and former members of the military. Each episode lifts the veil of secrecy on the fog of war.",https://www.youtube.com/watch?v=4-nlEb2cEoQ,tv,Documentary,42,2,0,2024,N/A,N/A,United States of America,Documentary/Other,N/A,84,39.78373,-100.44588
May the 12th Be with You,1284004,/sHJ2OIgpcpSmhqXkuSWxZ3nwg1S.jpg,/7IgL9NzlXSSHXyYoZHXVJEKQhkg.jpg,"It's Mother's Day and Marge Simpson joins the moms of Disney+ on a special holiday outing that turns into an epic galactic adventure filled with heroes, villains, and Stewie from Family Guy.",N/A,movie,"Animation, Comedy",5,1,5.23,2024,Disney Plus,/97yvRBw1GzX7fXprcF80er19ot.jpg,United States of America,Animation, Comedy,5,39.78373,-100.44588
Spacey Unmasked,252727,/2PEaTdXkmztlGmsAuFtIJsJsSYF.jpg,/gzcCXao5xuDP1aVFjSw3oZgefIV.jpg,"In 2023, Kevin Spacey was acquitted of sexual offences against four men in a UK trial. This documentary investigates Spacey's conduct and talks to multiple men, unconnected to that case, about their experiences with Kevin Spacey, almost all of whom have never spoken before.",https://www.youtube.com/watch?v=NFbiev0MNls,tv,Documentary,55,2,4,2024,Channel 4,/uMWCgjsGnO5IoQtqxXOjnQA5gt9.jpg,United Kingdom of Great Britain and Northern Ireland,Documentary/Other,N/A,110,54.70235,-3.27658
The Final: Attack on Wembley,1263766,/6XQ1WAbqhBMrEB1UAEiB8Hpy5Ge.jpg,/ao6UU1y1fctSgcRg818W9DiBYJ0.jpg,"As England reach the final of the Euros at last, 6,000 ticketless football fans storm Wembley stadium, leaving destruction in their wake.",https://www.youtube.com/watch?v=sYH7gRgJ2Bc,movie,Documentary,82,1,5.78,2024,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United Kingdom of Great Britain and Northern Ireland,Documentary/Other,N/A,82,54.70235,-3.27658
Shōgun,126308,/7O4iVfOMQmdCSxhOg1WnzG1AgYT.jpg,/5zmiBoMzeeVdQ62no55JOJMY498.jpg,"In Japan in the year 1600, at the dawn of a century-defining civil war, Lord Yoshii Toranaga is fighting for his life as his enemies on the Council of Regents unite against him, when a mysterious European ship is found marooned in a nearby fishing village.",https://www.youtube.com/watch?v=LX8BOLwDPfU,tv,"Drama, War & Politics",63,10,8.56,2024,Disney Plus,/97yvRBw1GzX7fXprcF80er19ot.jpg,United States of America,Drama, War & Politics,630,39.78373,-100.44588
Godzilla x Kong: The New Empire,823464,/v4uvGFAkKuYfyKLGZnYj6l47ERQ.jpg,/j3Z3XktmWB1VhsS8iXNcrR86PXi.jpg,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",https://www.youtube.com/watch?v=TYljxL4WeRo,movie,"Science Fiction, Action, Adventure",115,1,7.25,2024,N/A,N/A,United States of America,Science Fiction/Fantasy, Action,115,39.78373,-100.44588
Abigail,1111873,/7qxG0zyt29BI0IzFDfsps62kbQi.jpg,/ySgY4jBvZ6qchrxKnBg4M8tZp8V.jpg,"A group of criminals kidnaps a teenage ballet dancer, the daughter of a notorious gang leader, in order to obtain a ransom of $50 million, but over time, they discover that she is not just an ordinary girl. After the kidnappers begin to diminish, one by one, they discover, to their increasing horror, that they are locked inside with an unusual girl.",https://www.youtube.com/watch?v=S6BPb9PQqCk,movie,"Horror, Thriller",109,1,6.88,2024,N/A,N/A,United States of America,Horror, Thriller,109,39.78373,-100.44588
Ghostbusters: Frozen Empire,967847,/e1J2oNzSBdou01sUvriVuoYp0pJ.jpg,/wODqakS0jinTUECNS6n4VomQbew.jpg,"After the original team developed a top-secret research laboratory to take the shattered ghosts to the next level. But when the discovery of an ancient artifact unleashes an evil force, both new and old must join forces to protect their homeland and save the world from the Second Ice Age... from the very thing that unleashes an unstoppable force from the depths of history. As chaos reigns and pure evil plunges the world into darkness, the Ghostbusters must step forward once again to save humanity from the brink of doom. With two generations of Ghostbusters fighting side by side, the stakes have never been higher. Will they be able to avert the inevitable before everything freezes?",https://www.youtube.com/watch?v=ARqGaZNg08Y,movie,"Fantasy, Adventure, Comedy",115,1,6.69,2024,N/A,N/A,United States of America,Science Fiction/Fantasy, Adventure,115,39.78373,-100.44588
Bait,118957,/e2OIr4y90ZZjIRWQ0XBOVzpBn4x.jpg,/r8xotdjJLzZpdbj3Iz636bUi3oR.jpg,A freak tsunami traps shoppers at a coastal Australian supermarket inside the building ... along with a 12-foot great white shark.,https://www.youtube.com/watch?v=rYPgrotVpzc,movie,Horror,93,1,5.66,2012,Studiocanal Presents Amazon Channel,/mLif0L2p0M2AK4pbqHOBqLwB3bP.jpg,Australia,Horror,N/A,93,-24.77611,134.755
Alex Rider,99799,/hjz6daRXmzAh0iKIpnW5CQd7JcY.jpg,/pygVzf6zrd9xJgZixdNdLqTtjzx.jpg,"Alex Rider is an ordinary teenager enlisted to work on behalf of MI6, where he uses skills he didn't know he had to become an extraordinary spy.",https://www.youtube.com/watch?v=cnAc-Yg2NVg,tv,"Drama, Action & Adventure",45,24,7.8,2020,N/A,N/A,United Kingdom of Great Britain and Northern Ireland,Drama, Action & Adventure,1080,54.70235,-3.27658
Holes,8326,/o2Dm2mcE1qW8vT0bpsJO5OMBbqa.jpg,/1z4auHDSf2Kh6OqOVmwbeWc2Jrn.jpg,A wrongfully convicted boy is sent to a brutal desert detention camp where he must dig holes in order to build character. What he doesn't know is that he is digging holes in order to search for a lost treasure hidden somewhere in the camp.,https://www.youtube.com/watch?v=NEvLRtDKT0c,movie,"Adventure, Family, Drama, Comedy",117,1,6.84,2003,Disney Plus,/97yvRBw1GzX7fXprcF80er19ot.jpg,United States of America,Action/Adventure, Family,117,39.78373,-100.44588
Mr. Birchum,240689,/5KMiyfSJHHiUTVHJkffZhnbyq3Y.jpg,/vOWJpxYopa6Bbs8mFGILvsJbzjY.jpg,"Mr. Birchum attempts to navigate a world he doesn't comprehend. He's confused by his gaming streamer son, Eddie, annoyed at his selfie-taking, students and is constantly at war with the school district's appointed ""J.E.D.I."" Mr. Karponzi.",https://www.youtube.com/watch?v=4jcSBYQVEHY,tv,"Comedy, Animation",0,3,5.5,2024,N/A,N/A,United States of America,Comedy, Animation,0,39.78373,-100.44588
Madame Web,634492,/rULWuutDcN5NvtiZi4FRPzRYWSh.jpg,/pwGmXVKUgKN13psUjlhC9zBcq1o.jpg,"Forced to confront revelations about her past, paramedic Cassandra Webb forges a relationship with three young women destined for powerful futures...if they can all survive a deadly present.",https://www.youtube.com/watch?v=ZTycQKub30c,movie,"Action, Fantasy",116,1,5.62,2024,N/A,N/A,United States of America,Action/Adventure, Fantasy,116,39.78373,-100.44588
City of God,598,/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg,/uvitbjFU4JqvMwIkMWHp69bmUzG.jpg,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",https://www.youtube.com/watch?v=UW9tYkh8Yrc,movie,"Drama, Crime",130,1,8.43,2002,N/A,N/A,Federative Republic of Brazil,Drama, Crime,130,-10.33333,-53.2
UFC 296: Edwards vs. Covington,1192049,/kbW9XGykRJpX2MMpNEFhEOd462m.jpg,/bAeNsGWU05YWCIDfzpZxffV2h0n.jpg,"UFC 296: Edwards vs. Covington was a mixed martial arts event produced by the Ultimate Fighting Championship that took place on December 16, 2023, at the T-Mobile Arena in Paradise, Nevada, part of the Las Vegas Metropolitan Area, United States. A UFC Welterweight Championship bout between current champion Leon Edwards and former interim champion Colby Covington headlined the event.",N/A,movie,Action,180,1,6,2023,N/A,N/A,United States of America,Action/Adventure,N/A,180,39.78373,-100.44588
The Roast of Tom Brady,1278360,/guph6RgrrQSDQpDckGaIHLS5wzg.jpg,/AsQkevO5gIQXimaSZV93LuSN9nq.jpg,Tom Brady will take the hits when sports and comedy stars team up to roast the greatest NFL quarterback of all time.,https://www.youtube.com/watch?v=qL0if7ge4Bw,movie,Comedy,179,1,6.12,2024,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United States of America,Comedy,N/A,179,39.78373,-100.44588
Bob Marley: One Love,802219,/mKWalirPreEdCKDJjc5TKeOP2xi.jpg,/1ZSKH5GGFlM8M32K34GMdaNS2Ew.jpg,Jamaican singer-songwriter Bob Marley overcomes adversity to become the most famous reggae musician in the world.,https://www.youtube.com/watch?v=XpBY5nS3_fg,movie,"Music, History, Drama",104,1,6.92,2024,N/A,N/A,United States of America,Documentary/Other, History,104,39.78373,-100.44588
The Ultimate Fighter: Team McGregor vs. Team Chandler,517,/k3NlkqDeYmKTsx7QIQWjXXo0DeW.jpg,/n2sp8LcMza8lK83Q4BatOc4zgrM.jpg,"The Ultimate Fighter is an American reality television series and mixed martial arts (MMA) competition produced by the Ultimate Fighting Championship (UFC) and Pilgrim Media Group currently airing on ESPN+. It previously aired for fourteen seasons on Spike TV. The show features professional MMA fighters living together in Las Vegas, Nevada, and follows them as they train and compete against each other for a prized six-figure contract with the UFC. The series debuted on January 17, 2005.",https://www.youtube.com/watch?v=45Wz29nTe74,tv,Reality,60,417,6.5,2005,Sky Go,/1UrT2H9x6DuQ9ytNhsSCUFtTUwS.jpg,United States of America,Documentary/Other,N/A,25020,39.78373,-100.44588
South Park,2190,/xJnbMTrJ2fl1AXAKx34U4BPvOhs.jpg,/7uihCghJiyYFTXSh1BOPdHQN8xK.jpg,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",https://www.youtube.com/watch?v=uLrlLDLJpMo,tv,"Animation, Comedy",22,321,8.36,1997,Paramount Plus,/h5DcR0J2EESLitnhR8xLG1QymTE.jpg,United States of America,Animation, Comedy,7062,39.78373,-100.44588
Bridgerton,91239,/luoKpgVwi1E5nQsi7W0UuKHu2Rq.jpg,/m1rvaIIrDGwSYMt5mWG1WiTndmE.jpg,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",https://www.youtube.com/watch?v=gpv7ayf_tyE,tv,Drama,55,24,8.12,2020,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United States of America,Drama,N/A,1320,39.78373,-100.44588
The Veil,207334,/6aM5Lyp3zUtPyc0WVofES6UrV06.jpg,/im2F02rDRz9CcMrlKuroeNBVyPu.jpg,"Two women play a deadly game of truth and lies on the road from Istanbul to Paris and London. One woman has a secret, the other a mission to reveal it before thousands of lives are lost. In the shadows, mission controllers at the CIA and French DGSE must put differences aside and work together to avert potential disaster.",https://www.youtube.com/watch?v=obotoEkdbhw,tv,Drama,42,6,6.27,2024,N/A,N/A,United States of America,Drama,N/A,252,39.78373,-100.44588
Darkness of Man,1049574,/tsj5oYBRoF5PuTYrfe1Hw6fsxfG.jpg,/rSRA1p4e3laAAJflzdgtqNlx27Y.jpg,"Russell Hatch (played by Jean-Claude Van Damme), an Interpol operative who takes on the role of father figure to Jayden, the son of an informant killed in a routine raid gone wrong. Years later, Hatch finds himself protecting Jayden and his grandfather from a group of merciless gangs in an all-out turf war, stopping at nothing to protect Jayden and fight anyone getting in his way.",https://www.youtube.com/watch?v=HRKegxOLrOM,movie,"Action, Thriller",108,1,7,2024,N/A,N/A,N/A,Action/Adventure, Thriller,108,51.56687,4.9285
Friends,1668,/2koX1xLkpTQM4IZebYvKysFW1Nh.jpg,/l0qVZIpXtIo7km9u5Yqh0nKPOr5.jpg,"Six young people from New York City, on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life.",https://www.youtube.com/watch?v=s2TyVQGoCYo,tv,Comedy,48,228,8.44,1994,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United States of America,Comedy,N/A,10944,39.78373,-100.44588
The Wire,1438,/4lbclFySvugI51fwsyxBTOm4DqK.jpg,/layPSOJGckJv3PXZDIVluMq69mn.jpg,"Told from the points of view of both the Baltimore homicide and narcotics detectives and their targets, the series captures a universe in which the national war on drugs has become a permanent, self-sustaining bureaucracy, and distinctions between good and evil are routinely obliterated.",https://www.youtube.com/watch?v=hz401ifciSM,tv,"Crime, Drama",60,60,8.56,2002,Sky Go,/1UrT2H9x6DuQ9ytNhsSCUFtTUwS.jpg,United States of America,Documentary/Other, Drama,3600,39.78373,-100.44588
The Twilight Saga: Breaking Dawn - Part 2,50620,/7IGdPaKujv0BjI0Zd0m0a4CzEjJ.jpg,/qkl57wzSFrpi2sRpoc2mZJbMuLP.jpg,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",https://www.youtube.com/watch?v=fgC8YyYUAmI,movie,"Adventure, Fantasy, Drama, Romance",115,1,6.46,2012,Disney Plus,/97yvRBw1GzX7fXprcF80er19ot.jpg,United States of America,Action/Adventure, Fantasy,115,39.78373,-100.44588
Hidden Figures,381284,/9lfz2W2uGjyow3am00rsPJ8iOyq.jpg,/rfkIeCaIHhN3K5wjJJqKmfUjYp8.jpg,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",https://www.youtube.com/watch?v=W1VZ1-ZdQ7k,movie,"Drama, History",127,1,8.1,2016,Disney Plus,/97yvRBw1GzX7fXprcF80er19ot.jpg,United States of America,Drama, History,127,39.78373,-100.44588
Power Book IV: Force,119845,/cR0ursLXoT0zfX9XDGAzQRAnK0W.jpg,/9lwYGM97dBfu3lpCdt6VpohgjvV.jpg,"Tommy Egan leaves New York behind and plans to take on Chicago, using his outsider status to break all the local rules and rewrite them on his quest to become the biggest drug dealer in the city.",https://www.youtube.com/watch?v=eWHjxxdGz6Q,tv,"Crime, Drama",60,20,8.44,2022,MGM Amazon Channel,/efu1Cqc63XrPBoreYnf2mn0Nizj.jpg,United States of America,Documentary/Other, Drama,1200,39.78373,-100.44588
Sherlock Holmes,799,/thC0OuUvfGbOcoJ3aY5L4vlO6lA.jpg,/fnArp9iDW0mM5Hu6JbIUlVuHRGj.jpg,"Sherlock Holmes uses his abilities to take on cases by private clients and those that the Scotland Yard are unable to solve, along with his friend Dr. Watson.",https://www.youtube.com/watch?v=LMAroBYfJxs,tv,"Crime, Drama, Mystery",52,41,8.02,1984,BritBox Amazon Channel,/tLBLABfFYYETf9Zk8gKEWnjhMai.jpg,United Kingdom of Great Britain and Northern Ireland,Documentary/Other, Drama,2132,54.70235,-3.27658
Justice League,141052,/eifGNCSDuxJeS1loAXil5bIGgvC.jpg,/2nyaeISu2xIxIgZYNpX4UayY8PN.jpg,"Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",https://www.youtube.com/watch?v=b25uRGhMfQA,movie,"Action, Adventure, Science Fiction",120,1,6.09,2017,Sky Go,/1UrT2H9x6DuQ9ytNhsSCUFtTUwS.jpg,United States of America,Action/Adventure, Adventure,120,39.78373,-100.44588
Shottas,13830,/chh2xSTVtMCFyFePm1zRbBmtqaX.jpg,/8ErH7koBjggT4etFO23IQ3ZZ1BI.jpg,"A raw urban drama about two friends raised on the dangerous streets of Kingston, Jamaica. Biggs and Wayne take on the ""Shotta"" way of life to survive. As young boys, they begin a life of crime, eventually moving to the US where they begin a ruthless climb from the bottom. They remain bound to each other by their shottas loyalty as they aggressively take control of the Jamaican underworld.",https://www.youtube.com/watch?v=5tpClYOE-Wk,movie,"Action, Adventure, Crime, Drama",95,1,7.64,2002,Amazon Prime Video,/dQeAar5H991VYporEjUspolDarG.jpg,N/A,Action/Adventure, Adventure,95,51.56687,4.9285
