Title,Content ID,Poster,Backdrop,Overview,Trailer,Type,Genres,Runtime (minutes),Number of Episodes,Rating,Release Year,Provider Name,Provider Logo,Origin Country,Primary Genres,Secondary Genres,Total Runtime (minutes),Latitude,Longitude
Little Singham,133665,/srLkA5BJoKSXBTW47JUAEun5hxl.jpg,/bKQKePhR4mj08clw6uWe0qgZAFi.jpg,"A spinoff of Rohit Shetty's action franchise, this animated series follows brave kid cop Little Singham's adventures as he defends his town from evil.",N/A,tv,,0,1,3,2018,N/A,N/A,Republic of India,Documentary/Other,N/A,0,22.35111,78.66774
Mauli,579605,/nz6ecOmTt1CAKLBFIhjb3w1z0gd.jpg,/mtTfGNahR34VrvWeNRfHolYQy4a.jpg,Mauli is a tough cop whose in control when in uniform.But a big terror to criminals without uniform he gets transferred to Kapur village which has no respect for cops and it's temple is closed since last 15 years due to terror of Nana Londhe.Mauli beats his men black and blue where he finds admire in Renuka.Its soon reveled that Mauli is a simple man but the actual terror cop is his twin brother with the same name.Mauli's brother dies while trying to save Mauli from Nana leaving Mauli helpless in the village and face humiliation in front of Nana's terror.,https://www.youtube.com/watch?v=fqXkBRGAEnI,movie,"Action, Drama",134,1,4.8,2018,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,N/A,Action/Adventure, Drama,134,51.56687,4.9285
Project Power,605116,/TnOeov4w0sTtV2gqICqIxVi74V.jpg,/qVygtf2vU15L2yKS4Ke44U4oMdD.jpg,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",https://www.youtube.com/watch?v=KZOdwr0zp1M,movie,"Action, Crime, Science Fiction",113,1,6.47,2020,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United States of America,Action/Adventure, Crime,113,39.78373,-100.44588
Trust No One: The Hunt for the Crypto King,946327,/2ZzllPVrYmBn28Kc7PZaQ0PrQat.jpg,/poL87RE9mtvfiAKas8DHtdqA6nG.jpg,"When the young founder of a collapsing cryptocurrency exchange dies unexpectedly, irate investors suspect there's more to his death than meets the eye.",https://www.youtube.com/watch?v=vW2BPQ15OSw,movie,"Documentary, Crime",90,1,6.16,2022,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United Kingdom of Great Britain and Northern Ireland,Documentary/Other, Crime,90,54.70235,-3.27658
Hellboy,456740,/bk8LyaMqUtaQ9hUShuvFznQYQKR.jpg,/5BkSkNtfrnTuKOtTaZhl8avn4wU.jpg,"Hellboy comes to England, where he must defeat Nimue, Merlin's consort and the Blood Queen. But their battle will bring about the end of the world, a fate he desperately tries to turn away.",https://www.youtube.com/watch?v=cLs6XUzWcH4,movie,"Fantasy, Horror, Action, Adventure",121,1,5.56,2019,N/A,N/A,United States of America,Science Fiction/Fantasy, Horror,121,39.78373,-100.44588
The Pirates: The Last Royal Treasure,591120,/d5oMUBCuDntOJBOertQ7aTSAGmP.jpg,/pwpw1veVNW2Sls5sGbA9mqMYN49.jpg,"A gutsy crew of Joseon pirates and bandits battle stormy waters, puzzling clues and militant rivals in search of royal gold lost at sea.",https://www.youtube.com/watch?v=eSG7Tjx6X9k,movie,"Action, Adventure, Comedy",126,1,6.58,2022,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,"Korea, Republic of",Action/Adventure, Adventure,126,38.22836,127.02521
Pompeii,76649,/dxxM3lLDjGRC50i5rhvfQziskAN.jpg,/2Pd1IbMVubk2UNorJK5G1xR1cwG.jpg,"In 79 A.D., Milo, a slave turned gladiator, finds himself in a race against time to save his true love Cassia, the beautiful daughter of a wealthy merchant who has been unwillingly betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts in a torrent of blazing lava, Milo must fight his way out of the arena in order to save his beloved as the once magnificent Pompeii crumbles around him.",https://www.youtube.com/watch?v=t6TRwfxDICM,movie,"Action, Adventure, History, Romance, Drama",105,1,5.53,2014,Sky Go,/1UrT2H9x6DuQ9ytNhsSCUFtTUwS.jpg,Canada,Action/Adventure, Adventure,105,61.06669,-107.99171
Hot Pursuit,13038,/e60j9fMM70XjqOTezlSTxsGSAeP.jpg,N/A,"Hot Pursuit is a short-lived American television series starring Kerrie Keane and Eric Pierpoint, which aired from September 22 to December 28, 1984 on NBC. It was written and directed by executive producer Kenneth Johnson.",N/A,tv,Drama,60,12,5,1984,N/A,N/A,United States of America,Drama,N/A,720,39.78373,-100.44588
The White Princess,70215,/8urYFWrEd8ue94Fm4JpHccQg3M7.jpg,/jL2cwqjeTCQN7jZQLwl081kejyM.jpg,"The story of Elizabeth of York, the White Queen's daughter, and her marriage to the Lancaster victor, Henry VII. Based on the Philippa Gregory book of the same name.",https://www.youtube.com/watch?v=TJ-q3_b3dkI,tv,Drama,60,8,7.8,2017,MGM Amazon Channel,/efu1Cqc63XrPBoreYnf2mn0Nizj.jpg,United States of America,Drama,N/A,480,39.78373,-100.44588
Greenleaf,66830,/dnKwzDle0E7tHnddW9gbFf44GzH.jpg,/xhpELezB7GxS6PEb1nOPAjXici1.jpg,"The unscrupulous world of the Greenleaf family and their sprawling Memphis megachurch, where scandalous secrets and lies are as numerous as the faithful. Born of the church, the Greenleaf family love and care for each other, but beneath the surface lies a den of iniquity—greed, adultery, sibling rivalry and conflicting values—that threatens to tear apart the very core of their faith that holds them together.",https://www.youtube.com/watch?v=RAezT88migU,tv,Drama,42,60,7.3,2016,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United States of America,Drama,N/A,2520,39.78373,-100.44588
